id,Expenditure,N
88,Vegetables.Expenditure,11205
89,Bread.and.Cereals.Expenditure,48480
89,Total.Rice.Expenditure,35476
89,Meat.Expenditure,54002
89,Total.Fish.and..marine.products.Expenditure,19782
89,Fruit.Expenditure,3025
89,Vegetables.Expenditure,17513
90,Bread.and.Cereals.Expenditure,22972
90,Total.Rice.Expenditure,17267
90,Meat.Expenditure,10892
90,Total.Fish.and..marine.products.Expenditure,23187
90,Fruit.Expenditure,2270
90,Vegetables.Expenditure,10184
91,Bread.and.Cereals.Expenditure,30999
91,Total.Rice.Expenditure,25481
91,Meat.Expenditure,10508
91,Total.Fish.and..marine.products.Expenditure,7648
91,Fruit.Expenditure,1480
91,Vegetables.Expenditure,12896
92,Bread.and.Cereals.Expenditure,20179
92,Total.Rice.Expenditure,14618
92,Meat.Expenditure,7923
92,Total.Fish.and..marine.products.Expenditure,7620
92,Fruit.Expenditure,1220
92,Vegetables.Expenditure,9688
93,Bread.and.Cereals.Expenditure,31910
93,Total.Rice.Expenditure,24149
93,Meat.Expenditure,15165
93,Total.Fish.and..marine.products.Expenditure,11335
93,Fruit.Expenditure,1135
93,Vegetables.Expenditure,8195
94,Bread.and.Cereals.Expenditure,30508
94,Total.Rice.Expenditure,28402
94,Meat.Expenditure,8590
94,Total.Fish.and..marine.products.Expenditure,9643
94,Fruit.Expenditure,1170
94,Vegetables.Expenditure,6240
95,Bread.and.Cereals.Expenditure,34955
95,Total.Rice.Expenditure,27353
95,Meat.Expenditure,11550
95,Total.Fish.and..marine.products.Expenditure,10299
95,Fruit.Expenditure,2370
95,Vegetables.Expenditure,6563
96,Bread.and.Cereals.Expenditure,25419
96,Total.Rice.Expenditure,19882
96,Meat.Expenditure,15472
96,Total.Fish.and..marine.products.Expenditure,17070
96,Fruit.Expenditure,2130
96,Vegetables.Expenditure,12933
97,Bread.and.Cereals.Expenditure,40737
97,Total.Rice.Expenditure,36200
97,Meat.Expenditure,11211
97,Total.Fish.and..marine.products.Expenditure,15089
97,Fruit.Expenditure,1485
97,Vegetables.Expenditure,5809
98,Bread.and.Cereals.Expenditure,56998
98,Total.Rice.Expenditure,52282
98,Meat.Expenditure,8031
98,Total.Fish.and..marine.products.Expenditure,10475
98,Fruit.Expenditure,1290
98,Vegetables.Expenditure,5040
99,Bread.and.Cereals.Expenditure,25888
99,Total.Rice.Expenditure,16321
99,Meat.Expenditure,21160
99,Total.Fish.and..marine.products.Expenditure,8612
99,Fruit.Expenditure,2510
99,Vegetables.Expenditure,7289
100,Bread.and.Cereals.Expenditure,29989
100,Total.Rice.Expenditure,25461
100,Meat.Expenditure,8290
100,Total.Fish.and..marine.products.Expenditure,7747
100,Fruit.Expenditure,1165
100,Vegetables.Expenditure,4770
101,Bread.and.Cereals.Expenditure,53284
101,Total.Rice.Expenditure,47136
101,Meat.Expenditure,12395
101,Total.Fish.and..marine.products.Expenditure,9598
101,Fruit.Expenditure,980
101,Vegetables.Expenditure,5710
102,Bread.and.Cereals.Expenditure,33785
102,Total.Rice.Expenditure,25389
102,Meat.Expenditure,15171
102,Total.Fish.and..marine.products.Expenditure,5844
102,Fruit.Expenditure,980
102,Vegetables.Expenditure,8130
103,Bread.and.Cereals.Expenditure,29674
103,Total.Rice.Expenditure,26865
103,Meat.Expenditure,7417
103,Total.Fish.and..marine.products.Expenditure,6404
103,Fruit.Expenditure,1210
103,Vegetables.Expenditure,3430
104,Bread.and.Cereals.Expenditure,34277
104,Total.Rice.Expenditure,25702
104,Meat.Expenditure,28128
104,Total.Fish.and..marine.products.Expenditure,19862
104,Fruit.Expenditure,2325
104,Vegetables.Expenditure,8310
105,Bread.and.Cereals.Expenditure,52290
105,Total.Rice.Expenditure,38379
105,Meat.Expenditure,7893
105,Total.Fish.and..marine.products.Expenditure,7299
105,Fruit.Expenditure,1310
105,Vegetables.Expenditure,5665
106,Bread.and.Cereals.Expenditure,42657
106,Total.Rice.Expenditure,36063
106,Meat.Expenditure,6574
106,Total.Fish.and..marine.products.Expenditure,10576
106,Fruit.Expenditure,1402
106,Vegetables.Expenditure,5830
107,Bread.and.Cereals.Expenditure,38602
107,Total.Rice.Expenditure,30467
107,Meat.Expenditure,14122
107,Total.Fish.and..marine.products.Expenditure,7027
107,Fruit.Expenditure,1582
107,Vegetables.Expenditure,4240
108,Bread.and.Cereals.Expenditure,78686
108,Total.Rice.Expenditure,65765
108,Meat.Expenditure,8812
108,Total.Fish.and..marine.products.Expenditure,8780
108,Fruit.Expenditure,3190
108,Vegetables.Expenditure,8082
109,Bread.and.Cereals.Expenditure,56536
109,Total.Rice.Expenditure,45612
109,Meat.Expenditure,8650
109,Total.Fish.and..marine.products.Expenditure,9564
109,Fruit.Expenditure,1510
109,Vegetables.Expenditure,9560
110,Bread.and.Cereals.Expenditure,51874
110,Total.Rice.Expenditure,43078
110,Meat.Expenditure,12122
110,Total.Fish.and..marine.products.Expenditure,9033
110,Fruit.Expenditure,1619
110,Vegetables.Expenditure,5780
111,Bread.and.Cereals.Expenditure,48698
111,Total.Rice.Expenditure,44484
111,Meat.Expenditure,16855
111,Total.Fish.and..marine.products.Expenditure,12689
111,Fruit.Expenditure,1655
111,Vegetables.Expenditure,9095
112,Bread.and.Cereals.Expenditure,47488
112,Total.Rice.Expenditure,42732
112,Meat.Expenditure,7094
112,Total.Fish.and..marine.products.Expenditure,6356
112,Fruit.Expenditure,1650
112,Vegetables.Expenditure,8215
113,Bread.and.Cereals.Expenditure,43457
113,Total.Rice.Expenditure,38010
113,Meat.Expenditure,10360
113,Total.Fish.and..marine.products.Expenditure,6487
113,Fruit.Expenditure,2220
113,Vegetables.Expenditure,8340
114,Bread.and.Cereals.Expenditure,27680
114,Total.Rice.Expenditure,23081
114,Meat.Expenditure,6751
114,Total.Fish.and..marine.products.Expenditure,6977
114,Fruit.Expenditure,2905
114,Vegetables.Expenditure,7075
115,Bread.and.Cereals.Expenditure,46182
115,Total.Rice.Expenditure,38010
115,Meat.Expenditure,28812
115,Total.Fish.and..marine.products.Expenditure,11252
115,Fruit.Expenditure,4567
115,Vegetables.Expenditure,10925
